id,title,runtime,imdb_id,imdb_score,imdb_votes
ts35426,LEGO City,4,tt7530250,5.0,37.0
ts27835,MeatEater,22,tt2169245,7.5,1462.0
ts45996,Outback Truckers,44,tt5632186,7.4,264.0
ts55532,LEGO Friends,16,tt9148446,7.6,16.0
ts34737,La Reina del Sur,42,tt1704637,8.0,2445.0
ts21081,Pablo Escobar: The Drug Lord,44,tt2187850,8.4,4923.0
ts81858,Larva,2,tt6966158,7.1,582.0
ts158608,The Ultimate Braai Master,45,tt3264864,8.2,31.0
ts215037,Minecraft: Story Mode,62,tt10498322,5.5,300.0
ts39093,EastSiders,22,tt2558816,6.8,2723.0
ts26776,Smile PreCure!,22,tt2230557,6.1,388.0
ts33349,Robocar Poli,14,tt4763642,5.8,125.0
ts191698,Little Baby Bum,5,tt10051854,6.4,94.0
ts19165,The American Bible Challenge,43,tt2246424,6.4,125.0
ts58528,Inside West Coast Customs,47,tt8358972,7.4,42.0
ts27875,Masha's tales,5,tt3840498,6.4,89.0
ts6879,El Reemplazante,45,tt2488050,8.5,755.0
ts39112,Justin Time,15,tt1759210,6.0,16.0
ts167724,Meet the Adebanjos,25,tt2344781,7.6,76.0
ts41114,The Oath,44,tt7131686,7.9,9.0
ts32460,Inborn Pair,43,tt6357282,7.1,108.0
ts32561,Office Girls,46,tt4381290,6.9,140.0
ts69208,"Love, Now",45,tt6273116,7.6,116.0
ts99814,Masameer,0,tt6298258,8.2,677.0
ts44064,Drunken to Love You,46,tt2661520,6.5,114.0
ts128422,Takki,17,tt6052432,6.5,250.0
ts39465,Yours Fatefully,44,tt7131690,6.8,14.0
ts37864,The Glamorous Imperial Concubine,47,tt2272555,7.0,142.0
ts20837,Outlander,60,tt3006802,8.4,152435.0
ts20110,Peaky Blinders,58,tt2442560,8.8,485506.0
ts20682,Attack on Titan,24,tt2560140,9.0,325381.0
ts1639,The Blacklist,43,tt2741602,8.0,238138.0
ts20351,Married at First Sight,64,tt3868860,6.1,1975.0
ts11188,The Flash,42,tt3107288,7.6,336888.0
ts20292,Gotham,43,tt3749900,7.8,226081.0
ts16045,Are You The One?,41,tt3484274,6.5,2450.0
ts8146,The 100,42,tt2661044,7.6,242221.0
ts21374,How to Get Away with Murder,43,tt3205802,8.1,146712.0
ts20248,Reign,42,tt2710394,7.5,47751.0
ts14583,BoJack Horseman,26,tt3398228,8.8,143584.0
ts6,House of Cards,52,tt1856010,8.7,494092.0
ts20108,Henry Danger,24,tt3596174,5.6,5245.0
ts20823,Orange Is the New Black,59,tt2372162,8.1,295591.0
ts20824,The Originals,43,tt2632424,8.3,131574.0
ts21367,Jane the Virgin,42,tt3566726,7.8,46286.0
ts20280,Marco Polo,55,tt2189461,8.0,71229.0
ts35682,Wentworth,46,tt2433738,8.6,21747.0
ts20261,Madam Secretary,43,tt3501074,7.6,22563.0
ts34950,KILL la KILL,25,tt3114390,7.9,13372.0
ts20791,Z Nation,43,tt3843168,6.6,36059.0
ts20288,From Dusk Till Dawn: The Series,45,tt3337194,6.9,20132.0
ts2727,Derek,26,tt2616280,8.1,31976.0
ts32218,The Thundermans,24,tt2712516,5.6,5340.0
ts20097,Hemlock Grove,49,tt2309295,7.0,39590.0
ts314002,The Seven Deadly Sins,24,tt3909224,7.9,30341.0
ts20281,Sofia the First,24,tt2136138,6.8,2915.0
ts20014,Sailor Moon Crystal,24,tt3124992,7.8,2115.0
ts35570,Lovesick,24,tt4051832,8.1,19259.0
ts32271,Shtisel,48,tt3069894,8.6,6958.0
ts4213,The Chase,44,tt3077336,7.5,886.0
ts20917,The Night Shift,42,tt1483202,7.5,12069.0
ts35282,The Next Step,24,tt2374744,5.9,1928.0
ts20336,Velvet,57,tt2955402,8.1,6018.0
ts36836,Zach Stone Is Gonna Be Famous,20,tt1748277,8.3,3616.0
ts22426,The Irregular at Magic High School,24,tt3874528,7.1,3273.0
ts42168,Resurrection: Ertugrul,57,tt4320258,7.9,35515.0
ts98110,Dreamworks How to Train Your Dragon Legends,17,tt6963396,7.3,264.0
ts22383,Rabbids Invasion,10,tt3105674,5.5,1802.0
ts11794,The Cat in the Hat Knows a Lot About That!,19,tt1699440,6.4,620.0
ts20310,Girlfriends' Guide to Divorce,42,tt2817246,6.9,4523.0
ts35244,Tiny House Nation,43,tt3869500,7.1,1126.0
